vendor_product_id,product_name,category,subcategory,description,sku,brand,price,compare_at_price,stock_quantity,unit,weight_kg,dimensions_cm,image_url
PROD0001,Wireless Mouse - Model 651,Computer Accessories,,"Wireless Mouse. Features: Wireless, Ergonomic, USB Receiver. Brand: TechGear. Perfect for everyday use.",CA-VEND001-0001,TechGear,19.57,49.99,192,piece,2.31,22x34x14,https://cdn.example.com/products/vend001/ca-vend001-0001.jpg
PROD0002,USB-C Keyboard - Model 712,Computer Accessories,,"USB-C Keyboard. Features: Mechanical, RGB Backlight, USB-C. Brand: TechGear. Perfect for everyday use.",CA-VEND001-0002,TechGear,72.1,109.99,66,piece,3.21,25x33x24,https://cdn.example.com/products/vend001/ca-vend001-0002.jpg
PROD0003,Laptop Stand - Model 513,Computer Accessories,,"Laptop Stand. Features: Aluminum, Adjustable, Ergonomic. Brand: TechGear. Perfect for everyday use.",CA-VEND001-0003,TechGear,44.36,59.99,186,piece,2.31,48x14x21,https://cdn.example.com/products/vend001/ca-vend001-0003.jpg
PROD0004,Webcam HD - Model 677,Computer Accessories,,"Webcam HD. Features: 1080p, Auto Focus, Built-in Mic. Brand: TechGear. Perfect for everyday use.",CA-VEND001-0004,TechGear,86.72,119.99,408,piece,0.29,34x28x27,https://cdn.example.com/products/vend001/ca-vend001-0004.jpg
PROD0005,USB Hub 7-Port - Model 602,Computer Accessories,,"USB Hub 7-Port. Features: 7 Ports, USB 3.0, Powered. Brand: TechGear. Perfect for everyday use.",CA-VEND001-0005,TechGear,32.83,39.99,17,piece,2.68,17x38x21,https://cdn.example.com/products/vend001/ca-vend001-0005.jpg
PROD0006,Monitor Mount Dual - Model 680,Computer Accessories,,"Monitor Mount Dual. Features: Dual Monitor, VESA, Adjustable. Brand: TechGear. Perfect for everyday use.",CA-VEND001-0006,TechGear,111.92,,113,piece,1.04,28x39x11,https://cdn.example.com/products/vend001/ca-vend001-0006.jpg
PROD0007,Cable Organizer - Model 203,Computer Accessories,,"Cable Organizer. Features: Cable Management, Desk, Adhesive. Brand: TechGear. Perfect for everyday use.",CA-VEND001-0007,TechGear,13.68,19.99,271,piece,2.74,33x25x26,https://cdn.example.com/products/vend001/ca-vend001-0007.jpg
PROD0008,Laptop Cooling Pad - Model 275,Computer Accessories,,"Laptop Cooling Pad. Features: LED Fans, Adjustable Height, USB Powered. Brand: TechGear. Perfect for everyday use.",CA-VEND001-0008,TechGear,33.4,44.99,383,piece,0.93,48x15x9,https://cdn.example.com/products/vend001/ca-vend001-0008.jpg
PROD0009,Wireless Presenter - Model 465,Computer Accessories,,"Wireless Presenter. Features: Red Laser, USB Receiver, Rechargeable. Brand: TechGear. Perfect for everyday use.",CA-VEND001-0009,TechGear,25.32,,460,piece,0.99,42x11x24,https://cdn.example.com/products/vend001/ca-vend001-0009.jpg
PROD0010,Desk Lamp LED - Model 510,Computer Accessories,,"Desk Lamp LED. Features: Touch Control, Dimmable, USB Charging. Brand: TechGear. Perfect for everyday use.",CA-VEND001-0010,TechGear,36.77,54.99,244,piece,4.35,10x16x8,https://cdn.example.com/products/vend001/ca-vend001-0010.jpg
